MONTH,MANIFEST,ESTIMATED,EST UL,Areeba+Oummal-EMD
20-Aug,"74,366","69,604",,
20-Sep,"81,928","76,772",,
20-Oct,"109,267","102,471",,
20-Nov,"99,776","93,489",,
20-Dec,"155,020","145,479",,
21-Jan,"67,076","62,851",,
21-Feb,"67,395","63,151",,
21-Mar,"101,113","94,796",,
21-Apr,"107,240","100,556",,
21-May,"153,360","143,858",,
21-Jun,"234,519","219,848",,
21-Jul,"355,979","333,620","255,958",
21-Aug,"208,033","195,051","149,581",
21-Sep,"183,225","171,831","131,744",
21-Oct,"192,837","180,867","138,655",
21-Nov,"156,665","146,765","112,646",
21-Dec,"242,955","227,978","174,691",
22-Jan,"153,230","143,836","36,725","74,605"
22-Feb,"159,970","150,172",,"151,443"
22-Mar,"201,536",,,
22-Apr,"411,037",,,
22-May,"380,559",,,
22-Jun,"340,317",,,
22-Jul,"460,018",,,
Total,"4,355,421","2,722,995","1,000,000","226,048"
